evidence_id,doc_id,file_name,file_type,domain,source,acquisition_date,file_size,hash_sha256,label_doc,notes,original_path,working_copy_path
EVD-000014,DOC-000014,AbstractDataset (1).csv,csv,document,manual_document_dataset/mix,2026-04-25T09:50:24+07:00,10571940,30a3dc89bc905b22a55be4b5c8373cb8724fb2bb416c1677480571573dbb5f93,mixed,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/mix/AbstractDataset (1).csv,evidence_acquired/copied_files/documents/mix/AbstractDataset (1).csv
EVD-000015,DOC-000015,AbstractDataset (2).csv,csv,document,manual_document_dataset/mix,2026-04-25T09:50:24+07:00,11002896,7f8e3a1b762b7c8ce6601c147cd30e4919ca611f5a47dca6c634862299373369,mixed,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/mix/AbstractDataset (2).csv,evidence_acquired/copied_files/documents/mix/AbstractDataset (2).csv
EVD-000016,DOC-000016,AbstractDataset (3).csv,csv,document,manual_document_dataset/mix,2026-04-25T09:50:24+07:00,11154319,abf19526727500f77f3633bb436325581ba75f15ea3ae17f6d18664f43dbddf2,mixed,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/mix/AbstractDataset (3).csv,evidence_acquired/copied_files/documents/mix/AbstractDataset (3).csv
EVD-000017,DOC-000017,AbstractDataset (4).csv,csv,document,manual_document_dataset/mix,2026-04-25T09:50:24+07:00,9441303,138926fc35ca562e7d378594db8d1c50b428dfc18009be22f72e0589c52b16fb,mixed,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/mix/AbstractDataset (4).csv,evidence_acquired/copied_files/documents/mix/AbstractDataset (4).csv
EVD-000018,DOC-000018,AbstractDataset (5).csv,csv,document,manual_document_dataset/mix,2026-04-25T09:50:24+07:00,9562972,980e03ee5f35a8d283ec8b54ca4be927f8950de587f6bc74f08f317d16cad0c6,mixed,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/mix/AbstractDataset (5).csv,evidence_acquired/copied_files/documents/mix/AbstractDataset (5).csv
EVD-000019,DOC-000019,AbstractDataset.csv,csv,document,manual_document_dataset/mix,2026-04-25T09:50:24+07:00,10417787,2260ceb9ea71e5a238739a24ba10a77dbd91a572304aeb4b0eb9320a5d941b94,mixed,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/mix/AbstractDataset.csv,evidence_acquired/copied_files/documents/mix/AbstractDataset.csv
EVD-000020,DOC-000020,NewsDataset (1).csv,csv,document,manual_document_dataset/mix,2026-04-25T09:50:24+07:00,12365048,0d77194b004d75e553010c8a4b60ebedea89d1316aaeb5b77f052425bd6dab95,mixed,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/mix/NewsDataset (1).csv,evidence_acquired/copied_files/documents/mix/NewsDataset (1).csv
EVD-000021,DOC-000021,NewsDataset (2).csv,csv,document,manual_document_dataset/mix,2026-04-25T09:50:24+07:00,14907043,c03a06d100eb0746470ddd3101da02027c8241ba1bcb6d4c09f4fe1aba7b02a0,mixed,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/mix/NewsDataset (2).csv,evidence_acquired/copied_files/documents/mix/NewsDataset (2).csv
EVD-000022,DOC-000022,NewsDataset (3).csv,csv,document,manual_document_dataset/mix,2026-04-25T09:50:24+07:00,14907043,c03a06d100eb0746470ddd3101da02027c8241ba1bcb6d4c09f4fe1aba7b02a0,mixed,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/mix/NewsDataset (3).csv,evidence_acquired/copied_files/documents/mix/NewsDataset (3).csv
EVD-000023,DOC-000023,NewsDataset.csv,csv,document,manual_document_dataset/mix,2026-04-25T09:50:24+07:00,12617496,97e8057e025b84be49896e4b0d50f65ef0bed8bc990b21c3c1a2a9f0bf1a4871,mixed,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/mix/NewsDataset.csv,evidence_acquired/copied_files/documents/mix/NewsDataset.csv
EVD-000024,DOC-000024,WikiDataset (1).csv,csv,document,manual_document_dataset/mix,2026-04-25T09:50:24+07:00,23266592,1238c1f5d018e73371b0e3539aa397f57f01634bc7f9633ea4a14e0b2b495a97,mixed,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/mix/WikiDataset (1).csv,evidence_acquired/copied_files/documents/mix/WikiDataset (1).csv
EVD-000025,DOC-000025,WikiDataset.csv,csv,document,manual_document_dataset/mix,2026-04-25T09:50:24+07:00,22636415,693f92e2b5d1df90fdd2d19dd176a53935dce46a5607efe0a3675371f92e691f,mixed,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/mix/WikiDataset.csv,evidence_acquired/copied_files/documents/mix/WikiDataset.csv
