evidence_id,doc_id,domain,label_doc,file_name,file_type,file_size,hash_algorithm,hash_sha256,copied_hash_sha256,hash_match,original_path,working_copy_path
EVD-000012,DOC-000012,document,human,train-00004-of-00007-b269dc49374a2c0b.parquet,parquet,137444635,sha256,3299c22eb127a65b835aa1511cbe34528bfafa3796662dab183e3b451419dd42,3299c22eb127a65b835aa1511cbe34528bfafa3796662dab183e3b451419dd42,True,evidence_raw/documents/human/train-00004-of-00007-b269dc49374a2c0b.parquet,evidence_acquired/copied_files/documents/human/train-00004-of-00007-b269dc49374a2c0b.parquet
EVD-000013,DOC-000013,document,human,train-00005-of-00007-3dce5e05ddbad789.parquet,parquet,257809729,sha256,b8ea9f3e91bb3c29cdf1de984d0e4e33ad535244748e1f2e0ec4e1bdcce1a9ec,b8ea9f3e91bb3c29cdf1de984d0e4e33ad535244748e1f2e0ec4e1bdcce1a9ec,True,evidence_raw/documents/human/train-00005-of-00007-3dce5e05ddbad789.parquet,evidence_acquired/copied_files/documents/human/train-00005-of-00007-3dce5e05ddbad789.parquet
EVD-000014,DOC-000014,document,mixed,AbstractDataset (1).csv,csv,10571940,sha256,30a3dc89bc905b22a55be4b5c8373cb8724fb2bb416c1677480571573dbb5f93,30a3dc89bc905b22a55be4b5c8373cb8724fb2bb416c1677480571573dbb5f93,True,evidence_raw/documents/mix/AbstractDataset (1).csv,evidence_acquired/copied_files/documents/mix/AbstractDataset (1).csv
EVD-000015,DOC-000015,document,mixed,AbstractDataset (2).csv,csv,11002896,sha256,7f8e3a1b762b7c8ce6601c147cd30e4919ca611f5a47dca6c634862299373369,7f8e3a1b762b7c8ce6601c147cd30e4919ca611f5a47dca6c634862299373369,True,evidence_raw/documents/mix/AbstractDataset (2).csv,evidence_acquired/copied_files/documents/mix/AbstractDataset (2).csv
EVD-000016,DOC-000016,document,mixed,AbstractDataset (3).csv,csv,11154319,sha256,abf19526727500f77f3633bb436325581ba75f15ea3ae17f6d18664f43dbddf2,abf19526727500f77f3633bb436325581ba75f15ea3ae17f6d18664f43dbddf2,True,evidence_raw/documents/mix/AbstractDataset (3).csv,evidence_acquired/copied_files/documents/mix/AbstractDataset (3).csv
EVD-000017,DOC-000017,document,mixed,AbstractDataset (4).csv,csv,9441303,sha256,138926fc35ca562e7d378594db8d1c50b428dfc18009be22f72e0589c52b16fb,138926fc35ca562e7d378594db8d1c50b428dfc18009be22f72e0589c52b16fb,True,evidence_raw/documents/mix/AbstractDataset (4).csv,evidence_acquired/copied_files/documents/mix/AbstractDataset (4).csv
EVD-000018,DOC-000018,document,mixed,AbstractDataset (5).csv,csv,9562972,sha256,980e03ee5f35a8d283ec8b54ca4be927f8950de587f6bc74f08f317d16cad0c6,980e03ee5f35a8d283ec8b54ca4be927f8950de587f6bc74f08f317d16cad0c6,True,evidence_raw/documents/mix/AbstractDataset (5).csv,evidence_acquired/copied_files/documents/mix/AbstractDataset (5).csv
EVD-000019,DOC-000019,document,mixed,AbstractDataset.csv,csv,10417787,sha256,2260ceb9ea71e5a238739a24ba10a77dbd91a572304aeb4b0eb9320a5d941b94,2260ceb9ea71e5a238739a24ba10a77dbd91a572304aeb4b0eb9320a5d941b94,True,evidence_raw/documents/mix/AbstractDataset.csv,evidence_acquired/copied_files/documents/mix/AbstractDataset.csv
EVD-000020,DOC-000020,document,mixed,NewsDataset (1).csv,csv,12365048,sha256,0d77194b004d75e553010c8a4b60ebedea89d1316aaeb5b77f052425bd6dab95,0d77194b004d75e553010c8a4b60ebedea89d1316aaeb5b77f052425bd6dab95,True,evidence_raw/documents/mix/NewsDataset (1).csv,evidence_acquired/copied_files/documents/mix/NewsDataset (1).csv
EVD-000021,DOC-000021,document,mixed,NewsDataset (2).csv,csv,14907043,sha256,c03a06d100eb0746470ddd3101da02027c8241ba1bcb6d4c09f4fe1aba7b02a0,c03a06d100eb0746470ddd3101da02027c8241ba1bcb6d4c09f4fe1aba7b02a0,True,evidence_raw/documents/mix/NewsDataset (2).csv,evidence_acquired/copied_files/documents/mix/NewsDataset (2).csv
EVD-000022,DOC-000022,document,mixed,NewsDataset (3).csv,csv,14907043,sha256,c03a06d100eb0746470ddd3101da02027c8241ba1bcb6d4c09f4fe1aba7b02a0,c03a06d100eb0746470ddd3101da02027c8241ba1bcb6d4c09f4fe1aba7b02a0,True,evidence_raw/documents/mix/NewsDataset (3).csv,evidence_acquired/copied_files/documents/mix/NewsDataset (3).csv
EVD-000023,DOC-000023,document,mixed,NewsDataset.csv,csv,12617496,sha256,97e8057e025b84be49896e4b0d50f65ef0bed8bc990b21c3c1a2a9f0bf1a4871,97e8057e025b84be49896e4b0d50f65ef0bed8bc990b21c3c1a2a9f0bf1a4871,True,evidence_raw/documents/mix/NewsDataset.csv,evidence_acquired/copied_files/documents/mix/NewsDataset.csv
EVD-000024,DOC-000024,document,mixed,WikiDataset (1).csv,csv,23266592,sha256,1238c1f5d018e73371b0e3539aa397f57f01634bc7f9633ea4a14e0b2b495a97,1238c1f5d018e73371b0e3539aa397f57f01634bc7f9633ea4a14e0b2b495a97,True,evidence_raw/documents/mix/WikiDataset (1).csv,evidence_acquired/copied_files/documents/mix/WikiDataset (1).csv
EVD-000025,DOC-000025,document,mixed,WikiDataset.csv,csv,22636415,sha256,693f92e2b5d1df90fdd2d19dd176a53935dce46a5607efe0a3675371f92e691f,693f92e2b5d1df90fdd2d19dd176a53935dce46a5607efe0a3675371f92e691f,True,evidence_raw/documents/mix/WikiDataset.csv,evidence_acquired/copied_files/documents/mix/WikiDataset.csv
